Accession	Species	Class
HsCD00596973	Homo sapiens	2
HsCD00596974	Homo sapiens	2
HsCD00596982	Homo sapiens	1
HsCD00596983	Homo sapiens	1
HsCD00596984	Homo sapiens	2
HsCD00596985	Homo sapiens	2
HsCD00596986	Homo sapiens	1
HsCD00596987	Homo sapiens	2
HsCD00596988	Homo sapiens	2
HsCD00596989	Homo sapiens	2
HsCD00597078	Homo sapiens	1
HsCD00597079	Homo sapiens	2
HsCD00597081	Homo sapiens	1
HsCD00597083	Homo sapiens	1
HsCD00597084	Homo sapiens	2
HsCD00597085	Homo sapiens	2
HsCD00597086	Homo sapiens	2
HsCD00597087	Homo sapiens	2
HsCD00597088	Homo sapiens	2
HsCD00597089	Homo sapiens	2
HsCD00597097	Homo sapiens	1
HsCD00597098	Homo sapiens	2
HsCD00597099	Homo sapiens	2
HsCD00597101	Homo sapiens	1
HsCD00597106	Homo sapiens	2
HsCD00597107	Homo sapiens	2
HsCD00597108	Homo sapiens	2
HsCD00597109	Homo sapiens	2
HsCD00597110	Homo sapiens	2
HsCD00597111	Homo sapiens	2
HsCD00597112	Homo sapiens	2
HsCD00597113	Homo sapiens	1
HsCD00597115	Homo sapiens	2
HsCD00597117	Homo sapiens	2
HsCD00597118	Homo sapiens	1
HsCD00597119	Homo sapiens	1
HsCD00597120	Homo sapiens	1
HsCD00597121	Homo sapiens	1
HsCD00597122	Homo sapiens	1
HsCD00597123	Homo sapiens	2
HsCD00597124	Homo sapiens	2
HsCD00597125	Homo sapiens	2
HsCD00597132	Homo sapiens	1
HsCD00597134	Homo sapiens	1
HsCD00597137	Homo sapiens	1
HsCD00597139	Homo sapiens	1
HsCD00597140	Homo sapiens	1
HsCD00597141	Homo sapiens	1
HsCD00597143	Homo sapiens	1
HsCD00597144	Homo sapiens	1
HsCD00597146	Homo sapiens	1
HsCD00597148	Homo sapiens	1
HsCD00597149	Homo sapiens	1
HsCD00597150	Homo sapiens	1
HsCD00597151	Homo sapiens	1
HsCD00597152	Homo sapiens	1
HsCD00597154	Homo sapiens	1
HsCD00597156	Homo sapiens	1
HsCD00597159	Homo sapiens	2
HsCD00597161	Homo sapiens	1
HsCD00597163	Homo sapiens	1
HsCD00597164	Homo sapiens	1
HsCD00597165	Homo sapiens	1
HsCD00597168	Homo sapiens	2
HsCD00597169	Homo sapiens	2
HsCD00597170	Homo sapiens	2
HsCD00597172	Homo sapiens	1
HsCD00597173	Homo sapiens	2
HsCD00597174	Homo sapiens	2
HsCD00597175	Homo sapiens	2
HsCD00597179	Homo sapiens	2
HsCD00597180	Homo sapiens	1
HsCD00597183	Homo sapiens	1
HsCD00597184	Homo sapiens	1
HsCD00597185	Homo sapiens	1
HsCD00597190	Homo sapiens	2
HsCD00597191	Homo sapiens	2
HsCD00597192	Homo sapiens	2
HsCD00597193	Homo sapiens	1
HsCD00597194	Homo sapiens	2
HsCD00597195	Homo sapiens	2
HsCD00597196	Homo sapiens	1
HsCD00597198	Homo sapiens	1
HsCD00597199	Homo sapiens	2
HsCD00597201	Homo sapiens	1
HsCD00597202	Homo sapiens	1
HsCD00597203	Homo sapiens	1
HsCD00597204	Homo sapiens	2
HsCD00597205	Homo sapiens	1
HsCD00597206	Homo sapiens	1
HsCD00597209	Homo sapiens	1
HsCD00597211	Homo sapiens	1
HsCD00597214	Homo sapiens	1
HsCD00597242	Homo sapiens	1
HsCD00597407	Homo sapiens	2
HsCD00597408	Homo sapiens	2
HsCD00597409	Homo sapiens	2
HsCD00597410	Homo sapiens	2
HsCD00597411	Homo sapiens	2
HsCD00597412	Homo sapiens	2
HsCD00597413	Homo sapiens	2
HsCD00597414	Homo sapiens	1
HsCD00597415	Homo sapiens	1
HsCD00597416	Homo sapiens	1
HsCD00597418	Homo sapiens	2
HsCD00597423	Homo sapiens	2
HsCD00597424	Homo sapiens	2
HsCD00597425	Homo sapiens	1
HsCD00597426	Homo sapiens	2
HsCD00597427	Homo sapiens	1
HsCD00597428	Homo sapiens	1
HsCD00597433	Homo sapiens	1
HsCD00597434	Homo sapiens	2
HsCD00597436	Homo sapiens	1
HsCD00597437	Homo sapiens	1
HsCD00597439	Homo sapiens	1
HsCD00597440	Homo sapiens	2
HsCD00597441	Homo sapiens	2
HsCD00597443	Homo sapiens	1
HsCD00597444	Homo sapiens	1
HsCD00597445	Homo sapiens	1
HsCD00597446	Homo sapiens	2
HsCD00597447	Homo sapiens	1
HsCD00597448	Homo sapiens	1
HsCD00597450	Homo sapiens	2
HsCD00597451	Homo sapiens	1
HsCD00597454	Homo sapiens	1
HsCD00597788	Homo sapiens	2
HsCD00597789	Homo sapiens	2
HsCD00597791	Homo sapiens	2
HsCD00597792	Homo sapiens	1
HsCD00597795	Homo sapiens	1
HsCD00597796	Homo sapiens	1
HsCD00597797	Homo sapiens	1
HsCD00597798	Homo sapiens	1
HsCD00597799	Homo sapiens	1
HsCD00597800	Homo sapiens	1
HsCD00597801	Homo sapiens	1
HsCD00597802	Homo sapiens	1
HsCD00597803	Homo sapiens	1
HsCD00597804	Homo sapiens	2
HsCD00597805	Homo sapiens	2
HsCD00597807	Homo sapiens	1
HsCD00597808	Homo sapiens	1
HsCD00597809	Homo sapiens	1
HsCD00597810	Homo sapiens	1
HsCD00597811	Homo sapiens	1
HsCD00597812	Homo sapiens	1
HsCD00597813	Homo sapiens	2
HsCD00597814	Homo sapiens	1
HsCD00597815	Homo sapiens	2
HsCD00597816	Homo sapiens	2
HsCD00597817	Homo sapiens	1
HsCD00597818	Homo sapiens	1
HsCD00597819	Homo sapiens	1
HsCD00597820	Homo sapiens	1
HsCD00597821	Homo sapiens	1
HsCD00597822	Homo sapiens	1
HsCD00597824	Homo sapiens	1
HsCD00597825	Homo sapiens	2
HsCD00597826	Homo sapiens	2
HsCD00597827	Homo sapiens	2
HsCD00597828	Homo sapiens	2
HsCD00597829	Homo sapiens	2
HsCD00597830	Homo sapiens	1
HsCD00597833	Homo sapiens	2
HsCD00597834	Homo sapiens	2
HsCD00597835	Homo sapiens	2
HsCD00597836	Homo sapiens	2
HsCD00597840	Homo sapiens	2
HsCD00597841	Homo sapiens	2
HsCD00597843	Homo sapiens	2
HsCD00597844	Homo sapiens	2
HsCD00597845	Homo sapiens	2
HsCD00597846	Homo sapiens	2
HsCD00597847	Homo sapiens	2
HsCD00597848	Homo sapiens	2
HsCD00597849	Homo sapiens	2
HsCD00597850	Homo sapiens	2
HsCD00597852	Homo sapiens	1
HsCD00597857	Homo sapiens	1
HsCD00597858	Homo sapiens	2
HsCD00597859	Homo sapiens	2
HsCD00597860	Homo sapiens	1
HsCD00597861	Homo sapiens	1
HsCD00597863	Homo sapiens	1
HsCD00597864	Homo sapiens	1
HsCD00597865	Homo sapiens	1
HsCD00597867	Homo sapiens	2
HsCD00597868	Homo sapiens	1
HsCD00597869	Homo sapiens	2
HsCD00597870	Homo sapiens	1
HsCD00597871	Homo sapiens	2
HsCD00597872	Homo sapiens	1
HsCD00597873	Homo sapiens	1
HsCD00597877	Homo sapiens	2
HsCD00597878	Homo sapiens	1
HsCD00597881	Homo sapiens	2
HsCD00597924	Homo sapiens	2
HsCD00597925	Homo sapiens	1
HsCD00597926	Homo sapiens	1
HsCD00597927	Homo sapiens	1
HsCD00597928	Homo sapiens	1
HsCD00597929	Homo sapiens	1
HsCD00597933	Homo sapiens	1
HsCD00597934	Homo sapiens	1
HsCD00597935	Homo sapiens	1
HsCD00597936	Homo sapiens	1
HsCD00597937	Homo sapiens	2
HsCD00597938	Homo sapiens	1
HsCD00597939	Homo sapiens	1
HsCD00597940	Homo sapiens	1
HsCD00597941	Homo sapiens	1
HsCD00597942	Homo sapiens	1
HsCD00597943	Homo sapiens	2
HsCD00597944	Homo sapiens	2
HsCD00597945	Homo sapiens	2
HsCD00597946	Homo sapiens	1
HsCD00597948	Homo sapiens	2
HsCD00597949	Homo sapiens	2
HsCD00597950	Homo sapiens	2
HsCD00598028	Homo sapiens	1
HsCD00598029	Homo sapiens	1
HsCD00598030	Homo sapiens	1
HsCD00598031	Homo sapiens	1
HsCD00598032	Homo sapiens	1
HsCD00598037	Homo sapiens	1
HsCD00598038	Homo sapiens	1
HsCD00598039	Homo sapiens	1
HsCD00598041	Homo sapiens	1
HsCD00598042	Homo sapiens	2
HsCD00598043	Homo sapiens	1
HsCD00598046	Homo sapiens	1
HsCD00598047	Homo sapiens	1
HsCD00598048	Homo sapiens	1
HsCD00598052	Homo sapiens	1
HsCD00598053	Homo sapiens	1
HsCD00598054	Homo sapiens	1
HsCD00598055	Homo sapiens	1
HsCD00598057	Homo sapiens	2
HsCD00598061	Homo sapiens	2
HsCD00598062	Homo sapiens	2
HsCD00598063	Homo sapiens	2
HsCD00598064	Homo sapiens	2
HsCD00598068	Homo sapiens	1
HsCD00598069	Homo sapiens	1
HsCD00598070	Homo sapiens	1
HsCD00598071	Homo sapiens	1
HsCD00598072	Homo sapiens	1
HsCD00598073	Homo sapiens	2
HsCD00598074	Homo sapiens	1
HsCD00598075	Homo sapiens	1
HsCD00598076	Homo sapiens	1
HsCD00598079	Homo sapiens	2
HsCD00598081	Homo sapiens	1
HsCD00598083	Homo sapiens	1
HsCD00598084	Homo sapiens	1
HsCD00598103	Homo sapiens	2
HsCD00598104	Homo sapiens	1
HsCD00598105	Homo sapiens	1
HsCD00598108	Homo sapiens	1
HsCD00598109	Homo sapiens	1
HsCD00598110	Homo sapiens	2
HsCD00598111	Homo sapiens	1
HsCD00598112	Homo sapiens	1
HsCD00598113	Homo sapiens	2
HsCD00598114	Homo sapiens	1
HsCD00598116	Homo sapiens	1
HsCD00598117	Homo sapiens	1
HsCD00598118	Homo sapiens	1
HsCD00598119	Homo sapiens	1
HsCD00598123	Homo sapiens	2
HsCD00598125	Homo sapiens	2
HsCD00598126	Homo sapiens	2
HsCD00598127	Homo sapiens	2
HsCD00598128	Homo sapiens	2
HsCD00598129	Homo sapiens	2
HsCD00598130	Homo sapiens	2
HsCD00598136	Homo sapiens	1
HsCD00598137	Homo sapiens	1
HsCD00598138	Homo sapiens	1
HsCD00598139	Homo sapiens	1
HsCD00598140	Homo sapiens	2
HsCD00598149	Homo sapiens	2
HsCD00598150	Homo sapiens	2
HsCD00598151	Homo sapiens	1
HsCD00598152	Homo sapiens	2
HsCD00598155	Homo sapiens	1
HsCD00598159	Homo sapiens	1
HsCD00598160	Homo sapiens	2
HsCD00598161	Homo sapiens	2
HsCD00598162	Homo sapiens	2
HsCD00598163	Homo sapiens	2
HsCD00598173	Homo sapiens	2
HsCD00598174	Homo sapiens	2
HsCD00598175	Homo sapiens	2
HsCD00598176	Homo sapiens	2
HsCD00598177	Homo sapiens	2
HsCD00598178	Homo sapiens	2
HsCD00598179	Homo sapiens	1
HsCD00598180	Homo sapiens	1
HsCD00598181	Homo sapiens	1
HsCD00598182	Homo sapiens	1
HsCD00598183	Homo sapiens	1
HsCD00598184	Homo sapiens	1
HsCD00598186	Homo sapiens	2
HsCD00598189	Homo sapiens	2
HsCD00598192	Homo sapiens	1
HsCD00598193	Homo sapiens	1
HsCD00598194	Homo sapiens	1
HsCD00598195	Homo sapiens	1
HsCD00598196	Homo sapiens	2
HsCD00598197	Homo sapiens	2
HsCD00598198	Homo sapiens	2
HsCD00598199	Homo sapiens	2
HsCD00598200	Homo sapiens	1
HsCD00598201	Homo sapiens	1
HsCD00598202	Homo sapiens	1
HsCD00598203	Homo sapiens	2
HsCD00598204	Homo sapiens	2
HsCD00598205	Homo sapiens	2
HsCD00598206	Homo sapiens	2
HsCD00598207	Homo sapiens	2
HsCD00598208	Homo sapiens	2
HsCD00598209	Homo sapiens	2
HsCD00598210	Homo sapiens	2
HsCD00598211	Homo sapiens	2
HsCD00598212	Homo sapiens	1
HsCD00598214	Homo sapiens	1
HsCD00598215	Homo sapiens	1
HsCD00598219	Homo sapiens	2
HsCD00598220	Homo sapiens	2
HsCD00598221	Homo sapiens	2
HsCD00598223	Homo sapiens	2
HsCD00598224	Homo sapiens	2
HsCD00598227	Homo sapiens	2
HsCD00598228	Homo sapiens	2
HsCD00598229	Homo sapiens	2
HsCD00598230	Homo sapiens	2
HsCD00598232	Homo sapiens	2
HsCD00598233	Homo sapiens	1
HsCD00598235	Homo sapiens	1
HsCD00598237	Homo sapiens	1
HsCD00598238	Homo sapiens	1
HsCD00598239	Homo sapiens	2
HsCD00598240	Homo sapiens	2
HsCD00598241	Homo sapiens	2
HsCD00598242	Homo sapiens	2
HsCD00598243	Homo sapiens	2
HsCD00598244	Homo sapiens	1
HsCD00598245	Homo sapiens	2
HsCD00598246	Homo sapiens	1
HsCD00598249	Homo sapiens	1
HsCD00598250	Homo sapiens	1
HsCD00598251	Homo sapiens	1
HsCD00598252	Homo sapiens	1
HsCD00598254	Homo sapiens	1
HsCD00598256	Homo sapiens	2
HsCD00598257	Homo sapiens	2
HsCD00598258	Homo sapiens	2
HsCD00598259	Homo sapiens	2
HsCD00598260	Homo sapiens	1
HsCD00598261	Homo sapiens	1
HsCD00598262	Homo sapiens	1
HsCD00598263	Homo sapiens	2
HsCD00598264	Homo sapiens	2
HsCD00598265	Homo sapiens	2
HsCD00598266	Homo sapiens	1
HsCD00598267	Homo sapiens	1
HsCD00598268	Homo sapiens	2
HsCD00598269	Homo sapiens	2
HsCD00598270	Homo sapiens	2
HsCD00598271	Homo sapiens	1
HsCD00598273	Homo sapiens	1
HsCD00598274	Homo sapiens	2
HsCD00598275	Homo sapiens	2
HsCD00598276	Homo sapiens	2
HsCD00598277	Homo sapiens	2
HsCD00598278	Homo sapiens	2
HsCD00598280	Homo sapiens	2
HsCD00598281	Homo sapiens	2
HsCD00598282	Homo sapiens	1
HsCD00598283	Homo sapiens	1
HsCD00598284	Homo sapiens	1
HsCD00598285	Homo sapiens	1
HsCD00598287	Homo sapiens	2
HsCD00598289	Homo sapiens	2
HsCD00598290	Homo sapiens	1
HsCD00598291	Homo sapiens	1
HsCD00598292	Homo sapiens	1
HsCD00598297	Homo sapiens	2
HsCD00598298	Homo sapiens	2
HsCD00598299	Homo sapiens	1
HsCD00598300	Homo sapiens	1
HsCD00598304	Homo sapiens	1
HsCD00598305	Homo sapiens	1
HsCD00598306	Homo sapiens	2
HsCD00598307	Homo sapiens	1
HsCD00598308	Homo sapiens	2
HsCD00598309	Homo sapiens	2
HsCD00598310	Homo sapiens	2
HsCD00598311	Homo sapiens	1
HsCD00598312	Homo sapiens	1
HsCD00598313	Homo sapiens	1
HsCD00598317	Homo sapiens	2
HsCD00598318	Homo sapiens	2
HsCD00598319	Homo sapiens	1
HsCD00598320	Homo sapiens	1
HsCD00598322	Homo sapiens	2
HsCD00598323	Homo sapiens	2
HsCD00598324	Homo sapiens	2
HsCD00598325	Homo sapiens	2
HsCD00598328	Homo sapiens	1
HsCD00598329	Homo sapiens	1
HsCD00598330	Homo sapiens	1
HsCD00598331	Homo sapiens	1
HsCD00598332	Homo sapiens	2
HsCD00598333	Homo sapiens	2
HsCD00598334	Homo sapiens	2
HsCD00598335	Homo sapiens	1
HsCD00598336	Homo sapiens	1
HsCD00598337	Homo sapiens	1
HsCD00598340	Homo sapiens	2
HsCD00598341	Homo sapiens	2
HsCD00598342	Homo sapiens	2
HsCD00598343	Homo sapiens	2
HsCD00598344	Homo sapiens	2
HsCD00598345	Homo sapiens	2
HsCD00598346	Homo sapiens	1
HsCD00598347	Homo sapiens	1
HsCD00598348	Homo sapiens	1
HsCD00598349	Homo sapiens	1
HsCD00598350	Homo sapiens	1
HsCD00598351	Homo sapiens	1
HsCD00598356	Homo sapiens	1
HsCD00598357	Homo sapiens	1
HsCD00598358	Homo sapiens	1
HsCD00598360	Homo sapiens	2
HsCD00598362	Homo sapiens	2
HsCD00598366	Homo sapiens	1
HsCD00598367	Homo sapiens	2
HsCD00598368	Homo sapiens	1
HsCD00598369	Homo sapiens	2
HsCD00598370	Homo sapiens	2
HsCD00598372	Homo sapiens	2
HsCD00598374	Homo sapiens	2
HsCD00598375	Homo sapiens	2
HsCD00598377	Homo sapiens	1
HsCD00598378	Homo sapiens	2
HsCD00598379	Homo sapiens	2
HsCD00598380	Homo sapiens	2
HsCD00598381	Homo sapiens	2
HsCD00598382	Homo sapiens	2
HsCD00598383	Homo sapiens	2
HsCD00598384	Homo sapiens	2
HsCD00598389	Homo sapiens	2
HsCD00598390	Homo sapiens	2
HsCD00598403	Homo sapiens	1
HsCD00598409	Homo sapiens	1
HsCD00598410	Homo sapiens	1
HsCD00598411	Homo sapiens	1
HsCD00598412	Homo sapiens	1
HsCD00598415	Homo sapiens	1
HsCD00598418	Homo sapiens	2
HsCD00598420	Homo sapiens	2
HsCD00598422	Homo sapiens	2
HsCD00598423	Homo sapiens	2
HsCD00598425	Homo sapiens	1
HsCD00598427	Homo sapiens	2
HsCD00598430	Homo sapiens	2
HsCD00598693	Homo sapiens	1
HsCD00598695	Homo sapiens	1
HsCD00598696	Homo sapiens	2
HsCD00598697	Homo sapiens	2
HsCD00598722	Homo sapiens	1
HsCD00598733	Homo sapiens	1
HsCD00598734	Homo sapiens	2
HsCD00598747	Homo sapiens	2
HsCD00598826	Homo sapiens	1
HsCD00598827	Homo sapiens	2
HsCD00600517	Homo sapiens	2
HsCD00600518	Homo sapiens	2
HsCD00600521	Homo sapiens	2
HsCD00600522	Homo sapiens	2
HsCD00600523	Homo sapiens	2
HsCD00600524	Homo sapiens	1
HsCD00600525	Homo sapiens	2
HsCD00600526	Homo sapiens	2
HsCD00600527	Homo sapiens	2
HsCD00600528	Homo sapiens	2
HsCD00600529	Homo sapiens	1
HsCD00600531	Homo sapiens	1
HsCD00600532	Homo sapiens	1
HsCD00600533	Homo sapiens	1
HsCD00600534	Homo sapiens	1
HsCD00600535	Homo sapiens	2
HsCD00600536	Homo sapiens	1
HsCD00600563	Homo sapiens	1
HsCD00600564	Homo sapiens	1
HsCD00600567	Homo sapiens	1
HsCD00600568	Homo sapiens	2
HsCD00600569	Homo sapiens	1
HsCD00600570	Homo sapiens	1
HsCD00600571	Homo sapiens	1
HsCD00600572	Homo sapiens	1
HsCD00600573	Homo sapiens	1
HsCD00600578	Homo sapiens	1
HsCD00600580	Homo sapiens	2
HsCD00600581	Homo sapiens	2
HsCD00600582	Homo sapiens	1
HsCD00600583	Homo sapiens	2
HsCD00600585	Homo sapiens	2
HsCD00600587	Homo sapiens	2
HsCD00600588	Homo sapiens	2
HsCD00600589	Homo sapiens	2
HsCD00600590	Homo sapiens	2
HsCD00600591	Homo sapiens	1
HsCD00600592	Homo sapiens	1
HsCD00600594	Homo sapiens	2
HsCD00600595	Homo sapiens	2
HsCD00600597	Homo sapiens	2
HsCD00600598	Homo sapiens	2
HsCD00600599	Homo sapiens	2
HsCD00600638	Homo sapiens	1
HsCD00600639	Homo sapiens	1
HsCD00600640	Homo sapiens	1
HsCD00600641	Homo sapiens	2
HsCD00600642	Homo sapiens	2
HsCD00600643	Homo sapiens	2
HsCD00600644	Homo sapiens	2
HsCD00600645	Homo sapiens	2
HsCD00600646	Homo sapiens	2
HsCD00600647	Homo sapiens	2
HsCD00600648	Homo sapiens	2
HsCD00600650	Homo sapiens	1
HsCD00600652	Homo sapiens	2
HsCD00600653	Homo sapiens	2
HsCD00600654	Homo sapiens	2
HsCD00600655	Homo sapiens	2
HsCD00600757	Homo sapiens	2
HsCD00600758	Homo sapiens	2
HsCD00600759	Homo sapiens	2
HsCD00600760	Homo sapiens	2
HsCD00600761	Homo sapiens	2
HsCD00600762	Homo sapiens	2
HsCD00600773	Homo sapiens	1
HsCD00600779	Homo sapiens	2
HsCD00600791	Homo sapiens	1
HsCD00605763	Homo sapiens	1
HsCD00605764	Homo sapiens	2
HsCD00605778	Homo sapiens	1
HsCD00605779	Homo sapiens	2
HsCD00605786	Homo sapiens	2
HsCD00623104	Homo sapiens	2
HsCD00623105	Homo sapiens	1
HsCD00623107	Homo sapiens	1
HsCD00623108	Homo sapiens	1
HsCD00623109	Homo sapiens	1
HsCD00623110	Homo sapiens	2
HsCD00623111	Homo sapiens	1
HsCD00623112	Homo sapiens	1
HsCD00623113	Homo sapiens	2
HsCD00623114	Homo sapiens	1
HsCD00623115	Homo sapiens	1
HsCD00623122	Homo sapiens	1
HsCD00623124	Homo sapiens	1
HsCD00623126	Homo sapiens	1
HsCD00623128	Homo sapiens	1
HsCD00623129	Homo sapiens	2
HsCD00623130	Homo sapiens	1
HsCD00623131	Homo sapiens	2
HsCD00623132	Homo sapiens	1
HsCD00623133	Homo sapiens	1
HsCD00623135	Homo sapiens	1
HsCD00623137	Homo sapiens	1
HsCD00623140	Homo sapiens	1
HsCD00623142	Homo sapiens	1
HsCD00623143	Homo sapiens	1
HsCD00623144	Homo sapiens	2
HsCD00623149	Homo sapiens	2
HsCD00623150	Homo sapiens	1
HsCD00623151	Homo sapiens	1
HsCD00623152	Homo sapiens	1
HsCD00623153	Homo sapiens	1
HsCD00623155	Homo sapiens	1
HsCD00623156	Homo sapiens	2
HsCD00623158	Homo sapiens	2
HsCD00623159	Homo sapiens	2
HsCD00623160	Homo sapiens	1
HsCD00623173	Homo sapiens	1
HsCD00623174	Homo sapiens	1
HsCD00623175	Homo sapiens	2
HsCD00623177	Homo sapiens	1
HsCD00623178	Homo sapiens	1
HsCD00623179	Homo sapiens	2
HsCD00623180	Homo sapiens	1
HsCD00623181	Homo sapiens	2
HsCD00623182	Homo sapiens	2
HsCD00623183	Homo sapiens	2
HsCD00626125	Homo sapiens	2
HsCD00626126	Homo sapiens	2
HsCD00626130	Homo sapiens	2
HsCD00626131	Homo sapiens	2
HsCD00626132	Homo sapiens	2
HsCD00626133	Homo sapiens	1
HsCD00626134	Homo sapiens	1
HsCD00626135	Homo sapiens	2
HsCD00626136	Homo sapiens	2
HsCD00626137	Homo sapiens	2
HsCD00626138	Homo sapiens	2
HsCD00626140	Homo sapiens	1
HsCD00626141	Homo sapiens	2
HsCD00626142	Homo sapiens	2
HsCD00626143	Homo sapiens	1
HsCD00626144	Homo sapiens	2
HsCD00626147	Homo sapiens	2
HsCD00626148	Homo sapiens	1
HsCD00626150	Homo sapiens	1
HsCD00626152	Homo sapiens	2
HsCD00626153	Homo sapiens	2
HsCD00626154	Homo sapiens	2
HsCD00626155	Homo sapiens	1
HsCD00626156	Homo sapiens	2
HsCD00626157	Homo sapiens	1
HsCD00626158	Homo sapiens	2
HsCD00626159	Homo sapiens	2
HsCD00626160	Homo sapiens	2
HsCD00626161	Homo sapiens	2
HsCD00626163	Homo sapiens	2
HsCD00626165	Homo sapiens	2
HsCD00626166	Homo sapiens	2
HsCD00626167	Homo sapiens	1
HsCD00626168	Homo sapiens	2
HsCD00626169	Homo sapiens	2
HsCD00626170	Homo sapiens	2
HsCD00626171	Homo sapiens	2
HsCD00626172	Homo sapiens	1
HsCD00626173	Homo sapiens	1
HsCD00626177	Homo sapiens	2
HsCD00626178	Homo sapiens	2
HsCD00626179	Homo sapiens	2
HsCD00626182	Homo sapiens	2
HsCD00626184	Homo sapiens	1
HsCD00626185	Homo sapiens	1
HsCD00626186	Homo sapiens	2
HsCD00626187	Homo sapiens	2
HsCD00626188	Homo sapiens	1
HsCD00626189	Homo sapiens	1
HsCD00626190	Homo sapiens	1
HsCD00626193	Homo sapiens	2
HsCD00626194	Homo sapiens	2
HsCD00626195	Homo sapiens	2
HsCD00626196	Homo sapiens	2
HsCD00626197	Homo sapiens	2
HsCD00626198	Homo sapiens	2
HsCD00626201	Homo sapiens	1
HsCD00626203	Homo sapiens	1
HsCD00626205	Homo sapiens	2
HsCD00626206	Homo sapiens	1
HsCD00626207	Homo sapiens	1
HsCD00626208	Homo sapiens	1
HsCD00626210	Homo sapiens	2
HsCD00626211	Homo sapiens	1
HsCD00626212	Homo sapiens	2
HsCD00626213	Homo sapiens	2
HsCD00626214	Homo sapiens	2
HsCD00626349	Homo sapiens	1
HsCD00626355	Homo sapiens	1
HsCD00626448	Homo sapiens	2
HsCD00626478	Homo sapiens	1
HsCD00626479	Homo sapiens	2
HsCD00626489	Homo sapiens	1
HsCD00626490	Homo sapiens	2
HsCD00626492	Homo sapiens	1
HsCD00626500	Homo sapiens	1
HsCD00626507	Homo sapiens	1
HsCD00626517	Homo sapiens	2
HsCD00627865	Homo sapiens	1
HsCD00628062	Homo sapiens	1
HsCD00628065	Homo sapiens	1
HsCD00650128	Homo sapiens	1
HsCD00650129	Homo sapiens	1
HsCD00650130	Homo sapiens	2
HsCD00650131	Homo sapiens	1
HsCD00650132	Homo sapiens	1
HsCD00650133	Homo sapiens	1
HsCD00650134	Homo sapiens	2
HsCD00650136	Homo sapiens	1
HsCD00650139	Homo sapiens	1
HsCD00650140	Homo sapiens	1
HsCD00650141	Homo sapiens	1
HsCD00650142	Homo sapiens	1
HsCD00650143	Homo sapiens	1
HsCD00650144	Homo sapiens	1
HsCD00650145	Homo sapiens	2
HsCD00650146	Homo sapiens	2
HsCD00650149	Homo sapiens	2
HsCD00650150	Homo sapiens	2
HsCD00650151	Homo sapiens	2
HsCD00650152	Homo sapiens	2
HsCD00650153	Homo sapiens	2
HsCD00650155	Homo sapiens	1
HsCD00650357	Homo sapiens	1
HsCD00650358	Homo sapiens	1
HsCD00650359	Homo sapiens	1
HsCD00650360	Homo sapiens	1
HsCD00650361	Homo sapiens	1
HsCD00650362	Homo sapiens	1
HsCD00650374	Homo sapiens	1
HsCD00650375	Homo sapiens	1
HsCD00650376	Homo sapiens	1
HsCD00650377	Homo sapiens	1
HsCD00650378	Homo sapiens	1
HsCD00650379	Homo sapiens	1
HsCD00650380	Homo sapiens	2
HsCD00650381	Homo sapiens	2
HsCD00650382	Homo sapiens	1
HsCD00650383	Homo sapiens	1
HsCD00650384	Homo sapiens	2
HsCD00650385	Homo sapiens	1
HsCD00650386	Homo sapiens	1
HsCD00650387	Homo sapiens	1
HsCD00650389	Homo sapiens	1
HsCD00650394	Homo sapiens	1
HsCD00650395	Homo sapiens	2
HsCD00650396	Homo sapiens	2
HsCD00650398	Homo sapiens	2
HsCD00650399	Homo sapiens	2
HsCD00650400	Homo sapiens	1
HsCD00650401	Homo sapiens	1
HsCD00650402	Homo sapiens	1
HsCD00650403	Homo sapiens	1
HsCD00650404	Homo sapiens	1
HsCD00650405	Homo sapiens	2
HsCD00650407	Homo sapiens	1
HsCD00650408	Homo sapiens	2
HsCD00650415	Homo sapiens	1
HsCD00650416	Homo sapiens	1
HsCD00650417	Homo sapiens	1
HsCD00650418	Homo sapiens	1
HsCD00650419	Homo sapiens	2
HsCD00650420	Homo sapiens	2
HsCD00650421	Homo sapiens	2
HsCD00650422	Homo sapiens	1
HsCD00650423	Homo sapiens	2
HsCD00650424	Homo sapiens	2
HsCD00650425	Homo sapiens	1
HsCD00650426	Homo sapiens	2
HsCD00650427	Homo sapiens	2
HsCD00650428	Homo sapiens	2
HsCD00650429	Homo sapiens	2
HsCD00650606	Homo sapiens	2
HsCD00650607	Homo sapiens	2
HsCD00650608	Homo sapiens	2
HsCD00650609	Homo sapiens	2
HsCD00650610	Homo sapiens	2
HsCD00650611	Homo sapiens	2
HsCD00650612	Homo sapiens	2
HsCD00650613	Homo sapiens	1
HsCD00650614	Homo sapiens	2
HsCD00650615	Homo sapiens	1
HsCD00650616	Homo sapiens	1
HsCD00650617	Homo sapiens	1
HsCD00650618	Homo sapiens	1
HsCD00650619	Homo sapiens	1
HsCD00650620	Homo sapiens	1
HsCD00650621	Homo sapiens	1
HsCD00650623	Homo sapiens	1
HsCD00650625	Homo sapiens	2
HsCD00650804	Homo sapiens	1
HsCD00650805	Homo sapiens	2
HsCD00650809	Homo sapiens	1
HsCD00650810	Homo sapiens	1
HsCD00650811	Homo sapiens	2
HsCD00650812	Homo sapiens	2
HsCD00650814	Homo sapiens	2
HsCD00650815	Homo sapiens	2
